epoch,equirectangular_distance,haversine,loss,mae,mse,val_equirectangular_distance,val_haversine,val_loss,val_mae,val_mse
0,6781.2216796875,6533.0126953125,2327.667236328125,44.77704620361328,2327.667236328125,11426.9306640625,9259.880859375,7287.04150390625,65.22272491455078,7287.04150390625
1,6543.06201171875,6272.39990234375,2239.58154296875,44.18990707397461,2239.58154296875,9013.685546875,8477.1015625,4214.12255859375,52.997867584228516,4214.12255859375
2,6317.73291015625,6086.78515625,2131.60595703125,43.061824798583984,2131.60595703125,8163.35498046875,7816.9716796875,3188.342529296875,48.34714889526367,3188.342529296875
3,6197.984375,5987.38427734375,1959.6903076171875,41.11493682861328,1959.6903076171875,7127.48046875,6901.14501953125,2518.96923828125,43.27195739746094,2518.96923828125
4,5548.53857421875,5352.8486328125,1724.986083984375,38.274044036865234,1724.986083984375,6682.59228515625,6493.236328125,2188.8876953125,40.527278900146484,2188.8876953125
5,5039.2197265625,4889.1728515625,1449.4759521484375,34.627044677734375,1449.4759521484375,5464.24755859375,5337.212890625,1622.4771728515625,34.54702377319336,1622.4771728515625
6,4267.20166015625,4137.8251953125,1159.0357666015625,30.352087020874023,1159.0357666015625,4915.22412109375,4812.052734375,1312.734130859375,30.249784469604492,1312.734130859375
7,3688.383544921875,3610.300048828125,881.8392944335938,25.68812370300293,881.8392944335938,4223.1552734375,4146.29052734375,982.6602783203125,26.236949920654297,982.6602783203125
8,2885.86083984375,2827.213623046875,642.5195922851562,20.98592185974121,642.5195922851562,3128.065185546875,3082.08251953125,657.3380737304688,19.909616470336914,657.3380737304688
9,2316.109130859375,2281.893798828125,451.21185302734375,16.703136444091797,451.21185302734375,3175.494384765625,3141.15380859375,532.2146606445312,18.712400436401367,532.2146606445312
10,1833.617431640625,1813.0850830078125,306.5199890136719,13.418451309204102,306.5199890136719,2516.308837890625,2494.603759765625,360.37176513671875,14.4970064163208,360.37176513671875
11,1494.39208984375,1483.0430908203125,201.9128875732422,10.979879379272461,201.9128875732422,1955.398681640625,1943.54248046875,226.49070739746094,11.3160982131958,226.49070739746094
12,1217.498779296875,1211.883544921875,130.8978729248047,8.986771583557129,130.8978729248047,1584.511474609375,1577.774169921875,166.46163940429688,9.6527738571167,166.46163940429688
13,975.6614990234375,972.9501342773438,83.268310546875,7.259594440460205,83.268310546875,1340.8541259765625,1335.6796875,119.97958374023438,8.00932502746582,119.97958374023438
14,851.0899047851562,849.9299926757812,54.08819580078125,5.8095703125,54.08819580078125,925.36865234375,923.9979248046875,66.50157928466797,5.921054363250732,66.50157928466797
15,692.4064331054688,691.7998046875,34.6617546081543,4.6806321144104,34.6617546081543,968.1976318359375,967.08154296875,53.099212646484375,5.744772911071777,53.099212646484375
16,588.1049194335938,587.5773315429688,23.979270935058594,3.8005738258361816,23.979270935058594,777.3519897460938,776.6339721679688,37.56146240234375,4.742616176605225,37.56146240234375
17,414.80938720703125,414.60296630859375,18.981979370117188,3.3495407104492188,18.981979370117188,922.970458984375,921.6122436523438,65.79901885986328,6.146086692810059,65.79901885986328
18,360.524169921875,360.3841857910156,14.503677368164062,2.9237780570983887,14.503677368164062,522.0809326171875,521.9164428710938,23.869474411010742,3.7941291332244873,23.869474411010742
19,372.6622314453125,372.4930114746094,12.651779174804688,2.750869035720825,12.651779174804688,762.9793090820312,762.5762329101562,32.75832748413086,4.59530782699585,32.75832748413086
20,403.7149353027344,403.632568359375,12.808905601501465,2.7232565879821777,12.808905601501465,503.60260009765625,503.4223937988281,21.387096405029297,3.441530466079712,21.387096405029297
21,392.3592834472656,392.21929931640625,14.511974334716797,2.884868860244751,14.511974334716797,607.3103637695312,606.85205078125,27.47085189819336,3.9554853439331055,27.47085189819336
22,414.10699462890625,413.98553466796875,11.677694320678711,2.6077442169189453,11.677694320678711,574.8114624023438,574.5944213867188,24.117679595947266,3.852686643600464,24.117679595947266
